screen_name,created_at,text,id
Shell,2016-06-14T09:36:00,Are you a mobility #startup? Want to win €100K convertible loan and €25K cash? Sign up https://t.co/D7vQiKgept https://t.co/g1h3QDbCfI,742651798876499968
Shell_Canada,2016-06-14T15:38:00,RT @Shell_OnTheRoad: 🎉🎉🎉 RT @ShellMotorsport - Great drive from #Seb5 at the @CanadianGP! Well done on another podium finish this season. h…,742742904486166528
Shell_Canada,2016-06-14T15:40:00,RT @ShellMotorsport: They're here! #Seb5 &amp; #Kimi7 Lights out at 14.00 local time. #CanadianGP  #redseason #F1 https://t.co/eX2M9fQoPr,742743539629445120
Shell,2016-06-15T18:36:00,"@joanete1 Ficamos muito felizes com sua participação no #LitrosPorLetras, Joanete! :D Veja o vídeo de agradecimento: https://t.co/0rNXe0q72w",743150226203099136
Shell,2016-06-16T08:01:00,"@KennyRutter Hi Kenny, yes you can. I've direct messaged you with the details. Thanks.",743352664142942208
Shell,2016-06-16T09:01:00,Can innovation drive the low carbon economy? Follow @EnergyVisionsEU for debate and insight. #EnergyVisions https://t.co/eXHgnraPby,743367798450196480
Shell,2016-06-16T09:12:00,Creating light with rocks? See how at #makethefuture London. Get your FREE tickets at https://t.co/DFjnBhVgDl https://t.co/v5bzg9eke4,743370538114916353
Shell,2016-06-16T13:00:00,"@_almeidabrendaa Bom dia, Bê. Você pode nos explicar o que aconteceu, por favor? Queremos ajudá-la.",743427913983365121
Shell,2016-06-16T13:53:00,Shell’s Andy Brown &amp; Eduardo Rodriguez are at @WEF discussing the Latin American energy landscape. #futureenergy https://t.co/M1uBiaq0vS,743441383843827712
Shell_Canada,2016-06-16T16:25:00,RT @UofAEcoCar: We're all about efficiency and talking with our community. https://t.co/6EeUzR9buM,743479500080558080
Shell,2016-06-16T16:36:00,Watch Shell's Andy Brown discuss #futureenergy during @wef in Latin America earlier today. https://t.co/pF1XmbYHOd https://t.co/I2xY0jY6CF,743482276927967232
Shell_Canada,2016-06-16T19:23:00,RT @Alberta_Energy: Learn about Energy Efficiency Alberta and how you can have a say on new #abenergy programs: https://t.co/CIznbXm8Pw htt…,743524474893393920
Shell_Canada,2016-06-16T20:16:00,@leriche87 Pick up your vehicle any time. Call Albian Security before arriving to arrange release. 780-713-4777. Have license plate # ready.,743537762687717377
Shell,2016-06-17T10:32:00,Can footsteps power cities? Find out at #makethefuture London. Get your FREE tickets at https://t.co/02vdi09v8G https://t.co/KN28iGJC7y,743753195139141633
Shell,2016-06-17T13:33:00,"@BlogdoAdilson Adílson, obrigado por ajudar a divulgar a campanha #LitrosPorLetras! Veja o nosso agradecimento: https://t.co/kV9IDTWLjN :D",743798723856187392
Shell,2016-06-20T13:06:00,"@gm_scoralick Gui, levamos ocorrido como esse a sério e queremos ajudá-lo. Informe-nos, por favor, o posto em que isso aconteceu. Obrigado.",744879158145200128
Shell,2016-06-20T13:14:00,"@camava00 Conceição, muito obrigado por apoiar o #LitroPorLetras! Confira o vídeo que preparamos para você: https://t.co/rRwHQluCpY! :)",744880988744978432
Shell,2016-06-20T13:18:00,@janainajeronim2 Olá! Ficamos felizes com a seu apoio ao #LitrosPorLetras! ;) Confira o nosso agradecimento: https://t.co/0sSU6pm9Zq,744881991548571648
Shell,2016-06-20T14:32:00,RT @EnergyVisionsEU: What's the best way to boost low-carbon innovation in Europe? #EnergyVisions https://t.co/xDCpNXrRd3,744900754096328708
Shell_Canada,2016-06-20T15:13:00,"It’s Summer Solstice! This summer, save energy using fans instead of AC &amp; keep curtains shut in the day when not at home to keep out heat.",744911063850770432
Shell,2016-06-20T17:39:00,"RT @EnergyVisionsEU: We will need many new technologies to meet the low-carbon challenge, says @MarieCDonnelly #EnergyVisions",744947802594230273
Shell,2016-06-20T17:54:00,RT @EnergyVisionsEU: Results of poll on the best way to boost low-carbon economy: Let Innovators Compete #EnergyVisions https://t.co/ELUGI7…,744951578436608000
Shell,2016-06-20T20:21:00,"@gm_scoralick Obrigado pela informação, Gui. Esse tipo de atitude não está de acordo com o nosso padrão de atendimento de nenhuma maneira.",744988442631757824
Shell,2016-06-20T20:22:00,"@gm_scoralick Vamos registrar o ocorrido para que o posto seja notificado. Qualquer coisa, estamos à disposição. Abraços.",744988694621335555
Shell_Canada,2016-06-21T15:00:00,Happy National Aboriginal Day! We’re proud to work with our Aboriginal neighbours. https://t.co/7WVGeV5hnS,745270048957300736
Shell,2016-06-22T13:26:00,Can our footsteps power cities? Find out at #makethefuture London. Get your FREE TICKETS at https://t.co/9lp5h89v4k https://t.co/6gr6Az8bjV,745608836782891008
Shell,2016-06-22T13:41:00,Get FREE priority access tickets to see the cars of the future compete at #makethefuture London. https://t.co/0DMPpRLkmJ,745612793567649792
Shell,2016-06-22T14:57:00,"@saad_suna We are seeking out original ideas, from the unproven to those ready to deploy. Share you idea via: https://t.co/QPKggosVhE",745631681718128640
Shell,2016-06-22T15:00:00,"@SunilUXD Hi! They'll be at @noordinarypark in Stratford, East London. Find how to get there, here: https://t.co/U9HlxKmL35",745632579387269120
Shell_Canada,2016-06-22T15:28:00,RT @COSIA_ca: How far are Canada's oil sands going to find ways to reduce emissions? Out of this world! @COSIA_ca is in space https://t.co/…,745639483031302145
Shell_Canada,2016-06-22T19:01:00,Cup holders often hold more crumbs than cups. Keep them fresh with silicone cupcake liners. #CarHack https://t.co/iVspiv1rzX,745693279128256513
Shell,2016-06-23T11:51:00,"@404wibbs Hi, please call us on 0800 731 8888 (option 2) or e-mail to driversclub@shell.co.uk. We can add the points for you. Many thanks.",745947260396183552
Shell,2016-06-23T13:30:00,"@gm_scoralick Guilherme, bom dia. Sobre o caso relatado, você por acaso teria o nome do frentista? Obrigado.",745972177107849218
Shell_Canada,2016-06-23T14:08:00,RT @LeanneLaverick: Recognized a 'super volunteer' in the Fox Creek community by #fuellingkindness today. Best day ever! @shell_canada http…,745981887424962560
Shell,2016-06-23T15:12:00,Read how Shell staff are expanding their horizons through #volunteering with @Earthwatch_org https://t.co/irO4haV1Kf https://t.co/6ENppKrCML,745997848697774080
Shell_Canada,2016-06-23T18:38:00,Would you do a double take if you saw this classic roadster on the road? #TBT #FCAMeet2016🚗💨 https://t.co/fkUUsIFaZ7,746049804820692992
Shell,2016-06-24T10:15:00,With 2K vessels on the water ensuring global energy security - proud to support the Day of the Seafarer #AtSeaForAll https://t.co/1NXTsGS7Q3,746285508435783680
Shell,2016-06-24T11:05:00,"Don't miss it! See our new tech &amp; innovation stars: @alex_brooker, @RachelRileyRR &amp; @JamieLaing_UK #makethefuture https://t.co/CvPFJfLQPG",746298096536150016
Shell_Canada,2016-06-24T15:00:00,Because it’s 2016. Shell named in Top 50 Employers for Women.  https://t.co/BDOsKPL5SS,746357213741060096
Shell,2016-06-27T11:23:00,Join @RachelRileyRR at @makethefuture London for #SEM2016. Get FREE priority access tickets: https://t.co/1wDQBP4mmD https://t.co/rB42hhpis8,747389937864048641
Shell,2016-06-27T11:40:00,Join @alex_brooker at #makethefuture London. Get FREE priority access tickets here: https://t.co/1wDQBP4mmD https://t.co/X3vM4sGMpF,747394229220028416
Shell_Canada,2016-06-27T15:00:00,Hang a tablet on your seat back for a DIY TV. #ShellVPowerNiTRO gets you there. Tablets get you there sane. #CarHack https://t.co/xhAAyvONre,747444381481832448
Shell,2016-06-27T17:45:00,Sharks found by subsea robots deep in the Gulf of Mexico. Can you guess which? #sharkweek https://t.co/qS2ICuJKem https://t.co/OU6XHgfslv,747485901756981248
Shell,2016-06-28T01:04:00,Watch how solar and hydro power helps one of the Philippines’ oldest tribes light their homes for the first time. https://t.co/D7Ab6vKwgv,747596375525822464
Shell,2016-06-28T16:55:00,Energy from algae – just one of the ideas at #makethefuture London – a festival of innovation starting on Thursday. https://t.co/9xMAFOSQRN,747835703728443392
Shell,2016-06-29T04:38:00,How could the energy system evolve to provide a better life for all with a healthy planet? https://t.co/h6N2corp3q https://t.co/nHeDXooYdZ,748012644204941312
Shell,2016-06-29T09:16:00,Coming to #makethefuture London at @noordinarypark? Follow us on #Periscope for a preview: https://t.co/hrCh7xg8tz https://t.co/zLL8vJFhXM,748082716671868928
Shell,2016-06-29T11:05:00,"LIVE on #Periscope: What's going on in the @noordinarypark? #makethefuture London starts TOMORROW, join us for a sp… https://t.co/n1DzjzTAGX",748110174779506688
Shell,2016-06-29T11:41:00,LIVE on #Periscope: #F1 fans watch #Kimi7 in a special car around the #makethefuture #SEM2016 track! https://t.co/PGZQ1e3LnX,748119146265710592
Shell,2016-06-29T12:50:00,"Still lots to come today on #Periscope from #makethefuture London, plus a Facebook Live show at 5pm! #SEM2016 https://t.co/fgaX0ilv79",748136440769421313
Shell,2016-06-29T13:42:00,We'll be live on #Periscope to bring you action from #makethefuture London! Follow us here https://t.co/VmPtFsIwCg https://t.co/tPrSuT23LR,748149528189100032
Shell_Canada,2016-06-29T15:10:00,Long weekends are for road trips. Download our motorist app – your partner for every journey. https://t.co/WY9nx2cTC2,748171668716150784
Shell,2016-06-29T15:11:00,"Some of 6,000 workers expanding Norway’s Nyhamna plant for more gas to Europe shape up! https://t.co/Z7buJxH0qo https://t.co/QFKVgLGf1Z",748171928888815616
Shell,2016-06-29T15:13:00,We'll be LIVE at 5pm on Facebook with a sneak peek from #makethefuture London &amp; #SEM2016: https://t.co/eATyyXpr76 https://t.co/nWPfHasVSw,748172429055373312
Shell,2016-06-29T17:13:00,Join us LIVE on #Periscope shortly to meet some of the #SEM2016 teams. Ask your questions! https://t.co/boXKeYCmyI https://t.co/3XVbBeBvki,748202795845685249
Shell_Canada,2016-06-29T17:45:00,RT @Shell: How could the energy system evolve to provide a better life for all with a healthy planet? https://t.co/h6N2corp3q https://t.co/…,748210799399813120
Shell,2016-06-29T17:51:00,LIVE on #Periscope: Meet the #SEM2016 teams! They're all on the track together for the #makethefuture London photos… https://t.co/ZFyCUFDazn,748212192277823488
Shell,2016-06-29T17:58:00,LIVE on #Periscope: The #SEM2016 teams are on the tracks at #makethefuture London  https://t.co/JSkO6mBOCQ,748213957769441280
Shell,2016-06-29T19:00:00,Follow our Instagram account for all the action at #makethefuture London and #SEM2016: https://t.co/cYlWGypbcO https://t.co/wbubLLAXoq,748229553835876352
Shell,2016-06-30T09:10:00,#PoweringProgress Together arrives in London’s Olympic Stadium – Collaborating for a successful low-carbon UK. Follow the conversation!,748443458734546944
Shell,2016-06-30T09:16:00,.@bbckamal - 'We're here today to discuss the low-carbon future...finding solutions through collaboration.'  #PoweringProgress,748445080978063362
Shell,2016-06-30T09:22:00,Shell CEO Ben Van Beurden on the collaboration needed to tackle the energy challenge… #PoweringProgress https://t.co/aH8niFfDmT,748446607088230400
Shell,2016-06-30T09:24:00,Shell CEO Ben van Beurden speaking on the power of questions. #PoweringProgress https://t.co/9j9oW4UneS,748446984663605248
Shell,2016-06-30T09:27:00,Shell CEO Ben Van Beurden on the inevitable truth of the energy system. #PoweringProgress https://t.co/jwDYgKdygm,748447894093578240
Shell,2016-06-30T09:30:00,We’re LIVE on #Periscope from #makethefuture London! Meet some of the amazing inventors: https://t.co/RHM29MT3n0 https://t.co/xmfi9Pr9Bz,748448602612240384
Shell,2016-06-30T09:52:00,".@Jonathan_Rowson - ""Great that companies like @Shell ask people like me for challenge and critique. And I'm going to."" #PoweringProgress",748454153744158721
Shell,2016-06-30T09:54:00,@STEMRussell Very tidy!,748454531428683776
Shell,2016-06-30T10:01:00,@IChemE Of course!,748456421495300096
Shell,2016-06-30T10:01:00,LIVE on #Periscope: Let's change the WORLD! Meet #makethefuture London inventors and their futuristic ideas! https://t.co/qbViqbjNbu,748456534791827456
Shell,2016-06-30T10:08:00,.@EnvironmentDave speaking on the future of climate activism. #PoweringProgress https://t.co/RwVPbNG5Em,748458166103449600
Shell,2016-06-30T10:15:00,".@EnvironmentDave - 'Invite us in, show us where the problems are. Collaboration is in everybody's best interest' #PoweringProgress",748459817090457600
Shell,2016-06-30T10:30:00,.@jason_pontin on one of the many factors that may be involved in solving the climate problem. #PoweringProgress https://t.co/WlSBwaramF,748463767189610496
Shell,2016-06-30T10:46:00,Dr Douglas Terrier of @NASA_Johnson on what we can learn from @NASA  #PoweringProgress https://t.co/mANJLpQK0z,748467718962167808
Shell,2016-06-30T10:54:00,.@sillekrukow on how we can use choice architecture to change behaviour. #PoweringProgress https://t.co/uTQ1k2KNRV,748469634060455936
Shell,2016-06-30T11:09:00,Lots to come on #Periscope with @dallascampbell &amp; @kunaldutta! You don't want to miss @Pele! https://t.co/GAi2aKig40 https://t.co/XSdKoRlg0o,748473542019256320
Shell,2016-06-30T11:18:00,"Jeremy Bentham, Head of Shell Scenarios on what we can expect from the future. #PoweringProgress https://t.co/7fAepHOJ6U",748475674151780356
Shell,2016-06-30T11:30:00,Join @RachelRileyRR for a festival like no other. Get FREE tickets to #makethefuture London: https://t.co/QovwaOD9x9 https://t.co/GiqjSCsSSY,748478697536131072
Shell,2016-06-30T12:05:00,LIVE on #Periscope: Why has @Shell created #makethefuture and #SEM2016? Ask a man at the top your questions!   https://t.co/oBrS31e3vk,748487639070806016
Shell,2016-06-30T12:16:00,RT @Pele: Just arrived at @noordinarypark for @Shell Make The Future London. What a welcome! #makethefuture https://t.co/WybuJj0MMx,748490269847330816
Shell,2016-06-30T12:25:00,See @PixieLott perform live this Sunday at #makethefuture London. Get your free tickets at https://t.co/ZMe2lBIlkB https://t.co/1oIJm7ju1g,748492663847063552
Shell,2016-06-30T12:28:00,Shell CEO Ben van Beurden on what #PoweringProgress hopes to achieve... https://t.co/CeVBIyRc1w,748493326253498368
Shell_Canada,2016-06-30T13:00:00,Sip with no spills by using cling wrap and a straw as a #DIY drink lid. #CarHack,748501340825993216
Shell,2016-06-30T13:00:00,It’s what we’ve ALL been waiting for! @Pele is live on #Periscope very soon. Follow us now: https://t.co/caOb4McdHs https://t.co/apTymky4lI,748501348405100544
Shell,2016-06-30T13:07:00,Show off your skills in @Pele's penalty challenge! Get free #makethefuture London tickets: https://t.co/CwSxHPWc7J https://t.co/rAc7kOZru5,748503107110318080
Shell,2016-06-30T14:20:00,LIVE on #Periscope:  Forget #EURO2016 this is the place to be! @Pele is here to referee the penalty shoot out at #m… https://t.co/OFnFk2fNu9,748521551008497664
Shell_Canada,2016-06-30T14:30:00,@UofAEcoCar team is off to London for 1st-ever @shell_ecomar Drivers’ World Championship. #SEM2016 https://t.co/QBFxwVbolm,748523988066897920
Shell,2016-06-30T14:35:00,LIVE on #Periscope: AHH! We're chatting live to @Pele after that amazing shootout at #makethefuture London! https://t.co/rtUbzSaE3i,748525348380360704
Shell,2016-06-30T14:45:00,Wrapping up a great day of discussion and debate at #PoweringProgress  Thank you to all delegates and speakers. https://t.co/ois3UtXKo1,748527973897216000
Shell,2016-06-30T14:46:00,"Read more on the choices, challenges and ideas for society to decarbonise the global economy. #PoweringProgress https://t.co/7wdfS2WFzX",748528146358624257
Shell,2016-06-30T20:37:00,.@Pele kicked off an amazing 1st day at #makethefuture London. Get free priority tickets at https://t.co/CwSxHPWc7J https://t.co/V3uagC2snQ,748616387376066561
Shell,2016-07-01T10:05:00,"LIVE on #Periscope: Has #makethefuture London got YOU thinking? Well, @Shell's chief scientist is answering your en… https://t.co/v9ApSGkn4V",748819783127142400
Shell,2016-07-01T11:30:00,Join us on #Periscope with @RachelRileyRR as she BBQs with @Bio_Bean_UK! https://t.co/y5SC8RAijW https://t.co/Ah5hIseeCi,748841084642594816
Shell,2016-07-01T12:24:00,LIVE on #Periscope: .@RachelRileyRR is here finding out if we can cook with recycled coffee at #makethefuture Londo… https://t.co/5c2Hi4cJpC,748854892836552704
Shell,2016-07-01T13:00:00,Follow us on #Periscope for an afternoon of LIVE action at #makethefuture London! https://t.co/caOb4McdHs https://t.co/tBT3vDABo4,748863736073576448
Shell,2016-07-01T13:30:00,Join @dallascampbell LIVE on #Periscope for the @GravityLight Challenge! https://t.co/caOb4McdHs #makethefuture https://t.co/LKvO0YWsqP,748871284038234112
Shell,2016-07-01T14:08:00,LIVE on #Periscope:  How will Dallas get on trying the @GravityLight Challenge at #makethefuture London? https://t.co/iz48fphGIB,748881039234306048
Shell_Canada,2016-07-01T14:55:00,Happy Canada Day to all our neighbours across the country. Did you know we’ve been operating here since 1911? https://t.co/4c4JIqF4w6,748892671746375680
Shell,2016-07-01T19:35:00,.@RachelRileyRR’s jam-packed day at #makethefuture London. Why not have your own tomorrow? https://t.co/ZMe2lBIlkB https://t.co/JeIg2xcUrP,748963298880651265
Shell_Canada,2016-07-02T02:08:00,RT @MacDonaldIsland: What a great group of #CanadaDay volunteers in #ymm! Thanks @Shell_Canada! https://t.co/9cWn25wf2k,749062192855605249
Shell,2016-07-02T08:36:00,Portals to another dimension or the most fun you can have generating energy? Come find out at #makethefuture London https://t.co/4cVn0mV3xb,749159682191794176
Shell,2016-07-02T09:19:00,Find out about the cars of the future! Join us on #Periscope LIVE from #makethefuture London https://t.co/caOb4McdHs https://t.co/FPEyy8HwSp,749170617191194624
Shell,2016-07-02T09:36:00,The cars of tomorrow are competing today at #makethefuture London. Cheer them on at @noordinarypark. #SEM2016 https://t.co/28VmeCm91M,749174889312124928
Shell,2016-07-02T10:16:00,LIVE on #Periscope: What do you want to know about #SEM2016? Norman Koch is the man with the answers! https://t.co/pIAuoT6Wp4,749185050013495296
Shell,2016-07-02T10:34:00,The expression says it all… Come be amazed at #makethefuture London.  https://t.co/ryqsxmeWma https://t.co/VVk7jP2eJC,749189437217734656
Shell,2016-07-02T11:30:00,How will the @shell_ecomar cars measure up? Join @dallascampbell on #Periscope to find out: https://t.co/caOb4McdHs https://t.co/dedPmfhAm6,749203471992254464
Shell,2016-07-02T12:30:00,LIVE on #Periscope: Will all the #SEM2016 cars measure up? @DallasCampbell explains how tech inspection works at #m… https://t.co/e09hrZWZQ0,749218795454140416
Shell,2016-07-02T12:46:00,Watch @JamieLaing_UK LIVE in a Zorb on #Periscope at @makethefuture London! Not one to miss https://t.co/caOb4McdHs https://t.co/J5JdGGlQYo,749222721993801728
Shell,2016-07-02T13:31:00,Fancy a kick about? Then try topping the scoreboard on @Pele’s energy challenge at #makethefuture London ⚽️ https://t.co/T7undojy60,749234061995024384
Shell,2016-07-02T13:49:00,LIVE on #Periscope: Will @JamieLaing_UK beat @DallasCampbell in the Zorb challenge at #makethefuture? Find out! https://t.co/xHXjNd42YS,749238491297542145
Shell_Canada,2016-07-02T14:29:00,@UofAEcoCar is only Cdn team competing @shell_ecomar Drivers’ World Championship! #SEM2016 https://t.co/vLTi32Knxg https://t.co/AySmgUQVjV,749248523510673408
Shell,2016-07-02T14:47:00,"RT @JamieLaing_UK: Just been Zorbing at #makethefuture and I broke the record with 13,248 joules... Come challenge me @Shell https://t.co/S…",749253158875037696
Shell,2016-07-02T15:17:00,The fun never stops at the @Pele energy challenge! ⚽️  #makethefuture https://t.co/78DYoiWyBH,749260745217540096
Shell,2016-07-02T15:58:00,Slow-mo of @JamieLaing_UK going (literally) head over heels for our energy zorbs at #makethefuture London. https://t.co/cPkPOCJQby,749270962911272960
Shell,2016-07-02T17:49:00,"After all the sweat, sums and tears…victory for the winners of the #UrbanConcept category! #SEM2016 #makethefuture 🏆 https://t.co/DdQgfv7e8M",749299074336161792
Shell,2016-07-02T20:15:00,Take a look at @JamieLaing_UK and @Alex_Brooker’s antics from today at #makethefuture London. Last day is tomorrow! https://t.co/flTV3DyV05,749335632783273984
Shell,2016-07-03T08:25:00,Take a look at @JamieLaing_UK and @Alex_Brooker’s antics from yesterday at #makethefuture London. Last day is today! https://t.co/br7sDlPNnB,749519411522994176
Shell,2016-07-03T09:06:00,It's a beautiful morning at @noordinarypark for the final day of #makethefuture London! Come and join the fun ☀️ https://t.co/6YbdBQ4NIO,749529742227959808
Shell,2016-07-03T10:00:00,Follow us on #Periscope today for all the LIVE action from #makethefuture London! https://t.co/caOb4McdHs https://t.co/WUY6h24o7p,749543210536566784
Shell,2016-07-03T10:26:00,LIVE on #Periscope: It's the big day! The #SEM2016 drivers are with @SkySportsDavid for the Drivers' World Champion… https://t.co/zQc6m5XEuF,749549947041804288
Shell,2016-07-03T11:30:00,Catch us live on #Periscope with the @Shell_ecomar finalists at #makethefuture London! https://t.co/caOb4McdHs https://t.co/vt6T0wSXe2,749565859144822784
Shell,2016-07-03T12:00:00,Tell friends about the time you ran in a Zorb! Get down to the final day of #makethefuture London. Entry is free! https://t.co/B3JoU8vM17,749573416001400832
Shell,2016-07-03T13:02:00,LIVE on #Periscope: The teams are getting ready to go LIVE on the tracks! @alex_brooker is checking out the cars at… https://t.co/6FJw1fe9HW,749589017629450240
Shell,2016-07-03T13:46:00,Great to have @SkySportsDavid here at #makethefuture London as the voice of Drivers' World Championship! #SEM2016 https://t.co/iFI9bcG7QC,749600214114238464
Shell,2016-07-03T13:48:00,Buckle up! This is what it feels like to compete in the @shell_ecomar at #makethefuture London. #SEM2016 https://t.co/djNasvJRcY,749600616884891648
Shell,2016-07-03T14:06:00,LIVE on #Periscope: Drivers on the grid of Heat 3 of the #SEM2016 World Championship! Who will WIN? #makethefuture … https://t.co/CpPXzP0Uyb,749605265989828608
Shell,2016-07-03T17:33:00,The 1st ever winner of the Drivers' World Championship is...Bumi Siliwangi from Indonesia! 🏆#SEM2016 #makethefuture https://t.co/49wCQlRZ1t,749657437028909057
Shell,2016-07-03T18:11:00,What a rollercoaster! Thank you to everyone who helped #makethefuture! https://t.co/RbrQft2aXG,749666823189229568
Shell,2016-07-03T19:00:00,A massive 👏 👏 👏 to all the @shell_ecomar winners of the Prototype category! Now go celebrate #makethefuture #SEM2016 https://t.co/o2n07ZNN3Z,749679108611801088
Shell,2016-07-03T20:21:00,Watch @alex_brooker and @PixieLott making the most of the final day at the #makethefuture London festival! https://t.co/fkwPN7oit5,749699512952848384
Shell,2016-07-04T11:44:00,"RT @shell_ecomar: The anticipation, the drama, the emotion! Relive the final day of #SEM2016 in all its glory 🏆 🏁🚗 💨 https://t.co/p0OIiM91ip",749931786004815872
Shell,2016-07-04T14:32:00,"@stevekennedyuk Hi Steve, a bit of footage in this recap video. Hope you like it. https://t.co/SbNYNs1O07",749974161372672004
Shell_Canada,2016-07-04T16:00:00,#collaboration https://t.co/jtPfsufSES,749996392391712769
