screen_name,created_at,text,id
naijcom,2016-06-14T08:16:00,"@Unilever partners government, pharmacists to promote good oral health https://t.co/NXPQoVTte1 https://t.co/bbruYCsI9X",742631728163004416
Yeam,2016-06-14T08:38:00,@Unilever Well done @PaulPolman on everything you are doing to help achieve the #GlobalGoals @GlobalGoalsAus #sustainability #endpoverty,742637361394114560
FuterraMexico,2016-06-14T13:11:00,@Unilever https://t.co/ZlYEzWdvFv,742705907587551233
prnewswirebr,2016-06-14T13:18:00,@Unilever #destaca empoderamento #feminino https://t.co/FDNqVCDoDu^AS Via @propmark #mkt #publicidade #marca #mulher https://t.co/xAEtT9HgCb,742707761222422528
Ayubii25,2016-06-14T23:19:00,"@Unilever Indonesia - Jaksel, Al Diron *Buk Ber, Syukron jazilan Bpk Ust Hasan, Bpk Abdul Rahman Siregar &amp; Staff CS. https://t.co/hubZAam2Fj",742858909455503360
NileZengun,2016-06-15T00:24:00,@Unilever @PepsiCo @CocaColaCo @ProcterGamble Use #SocialPlastic Reduce  plastic waste. Reduce poverty. Support the ocean.,742875506425618432
destineealma,2016-06-15T06:24:00,@Unilever @UnileverWorld @unileverusa im stressed can you please make your tea easier to open. its been 20 min. im https://t.co/7lGbsp3NhI,742965876618604544
LiliWaste,2016-06-15T09:47:00,@Unilever might have achieved #ZeroWaste - but can the rest of the World? Read our blog &gt;&gt; https://t.co/0NGbNzLIX1 https://t.co/Q1N5qL1IKW,743017148344324097
ad1active,2016-06-15T11:49:00,@Unilever still throwing money at tumblr? #brandsafe https://t.co/T3wuhaRzvV,743047726510669824
HippieBookkeep,2016-06-15T14:23:00,@Unilever @janemarielynch @Vaseline @DirectRelief Aloe vera wld be a better choice since it is natural and NOT petroleum based. #ProfitWhore,743086581699907584
FrankKleijn1,2016-06-15T20:50:00,@Unilever is het nomaal dat er donkerbruine tape op de wikkel van mijn ijsje van ola zit?bhelemaal rondom Tot aan de binnenkant.,743183880467910656
sebradford98,2016-06-15T22:46:00,@Unilever pls stop putting aspartame in your green tea I want to enjoy good tea on the go,743213076372160515
ad1active,2016-06-15T23:18:00,@Unilever is this tumblr's idea of a woman's segment based on content? #brandsafe https://t.co/G4byLPS1pm,743221107612745728
ShaneyNice,2016-06-16T04:26:00,@Unilever @PepsiCo @IKEA @CocaColaCo @ProcterGamble Please consider using #SocialPlastic to reduce plastic waste and reduce poverty,743298704778551297
inmyeye6,2016-06-16T07:28:00,@unilever I have now emailed 4 times and got no response &amp; speaking on the number you gave didn’t help either. What next?,743344536441675776
marcduke,2016-06-16T08:40:00,"@Unilever  Returns to #Cannes With a More Organized #startup  Lineup
 https://t.co/okgwzXaMu5 @streetlike @UnileverFoundry @jeremybassett",743362610985304065
ad1active,2016-06-16T11:16:00,@Unilever and tumblr dollars keep coming #brandsafe https://t.co/Ys8JkjICYE,743401815601983488
ad1active,2016-06-16T11:16:00,@Unilever omg do you own stock in tumblr?? #brandsafe https://t.co/dp3dJa26vf,743401973538521089
AbaxServices,2016-06-16T11:38:00,"@Unilever to build new #manufacturing plant in #Dubai
https://t.co/ImuuofwGkM
#consumer #construction #engineering #MENA #UAE #food",743407395704049664
GCN_BLOG,2016-06-16T11:51:00,@Unilever #SEAA announces appointment of new #President https://t.co/Llh4tBm1Er https://t.co/KkFWkV2op6,743410746055352320
saharasheldon,2016-06-16T12:52:00,@Unilever Really?? https://t.co/uEoVyb73e4,743426025934159872
DanielRaihani,2016-06-16T13:00:00,"@Unilever Every day, almost 100,000 people are #displaced from their homes by conflict #Action towards achieving the #GlobalGoals @GlblCtzn",743428126261207045
Totalmedios_com,2016-06-16T15:00:00,"@Unilever nombra Coordinadora de Sustentabilidad Unilever Cono Sur
https://t.co/fUKnjIwMoT https://t.co/EIsnuBTWOz",743458328341164033
globalcosmetics,2016-06-16T15:35:00,@Unilever @SEAA announces appointment of  #NewPresident https://t.co/f8v4sDT72d https://t.co/begBMNmKFR,743467107778703360
kcharisse0215,2016-06-16T19:56:00,@Unilever the new #hellmanns carefully crafted is great,743532795050496001
thealexpearce,2016-06-16T20:13:00,"@Unilever Why would you remove the hook from your shower gel, what am I supposed to do now #radox #bringbackthehook",743537041561030656
globalcosmetics,2016-06-16T22:34:00,@Unilever #SEAA announces appointment of #NewPresident https://t.co/f8v4sDT72d https://t.co/NCSlIqjM2E,743572473870974976
ecomIQ,2016-06-17T04:42:00,@Unilever's partnership with @Instacart is breaking marketing barriers. This could work in #southeastasia ? https://t.co/kDp7YfvD6b,743665097093054464
moturimichael1,2016-06-17T06:10:00,@Unilever why havent standardize your products all over the world,743687314879086594
ChampyRules,2016-06-17T09:34:00,@Unilever  https://t.co/g76Pdq9PiN,743738497375166465
FundsEurope,2016-06-17T12:20:00,@Unilever’s Mark Walker joins #300club think-tank https://t.co/ICIL4rtFeq,743780362283851776
timg33,2016-06-17T12:36:00,@Unilever @keithweed Time for new Unilever suppliers?,743784370645909504
bradberger29,2016-06-17T13:39:00,@Unilever @keithweed Help kids WISDOM free https://t.co/6zXWTIUgJS  2 million Likes https://t.co/k8HtCj6DBL,743800122991992833
EscorpionHugo,2016-06-17T14:15:00,"@Unilever hola, soy de México, podrían darme algún contacto para solucionar un choque de una camioneta y que se fue sin esperar el seguro",743809211042127872
cathiebility,2016-06-17T14:17:00,@Unilever @keithweed Respect.,743809811091959808
sonyamadeira,2016-06-17T14:27:00,@unilever examples being cited today. @lumaz on content for mobile delivery in Africa #theindiesummit @RahulWelde https://t.co/nW0xyLuIoK,743812242689376256
deshni_g,2016-06-17T21:46:00,@Unilever @UnileverSA_ @UnileverSA  Still no response as to why South Africa does not have Ben &amp; Jerry's ice cream. Happiness in my hands 😍,743922817603936257
Stinkeyfeet40,2016-06-18T08:33:00,@Unilever you score a worst rating for the likely use of tax avoidance strategies in @ec_magazine https://t.co/yIc0MYp9WJ,744085588278648832
Stinkeyfeet40,2016-06-18T08:35:00,@Unilever Why are you supporting TTIP? #stopttip @ec_magazine,744086151804358656
yolonda_blake,2016-06-18T10:06:00,@Unilever  PZM12853802. Thank you (Mr. Chris Green) for responding and the valuable coupons.,744109108547231745
SymienJennifer,2016-06-18T10:12:00,@Unilever Surprised to see your company &amp; logo on Brexit flyer. Saw your CEO on TV saying he wanted us to remain. https://t.co/RtXYrMelJg,744110473029771264
Ntombiyesintwin,2016-06-18T11:03:00,"@Unilever Love your comfort fabric conditioners, was the Gold one discountined. Can't find it anywhere😭😭",744123339841617920
Real_Lozikeyi,2016-06-18T11:03:00,"@Unilever Love your comfort fabric conditioners, was the Gold one discountined. Can't find it anywhere😭😭",744123339841617920
tknolan,2016-06-18T14:01:00,@Unilever Lifebuoy soap has a mission with a business model #CannesLions #MLGnoir https://t.co/kgc8d61XmR,744168100606672896
iamnoblekhan,2016-06-18T18:55:00,"@Unilever @unileverusa @UnileverWorldwant to understand #muslim employees, customers more check out #noblekhan.com #courses #awardwinning",744242206995787777
DeKlokkenmaker,2016-06-19T07:28:00,"@Unilever goedemorgen, lekker hoor die chicken #jehebtmaareentaak https://t.co/xAQfhMZcVo",744431711333789696
alhashemibader,2016-06-19T07:42:00,@Unilever  i wont nomber head office in uae,744435204660551680
gr8magz,2016-06-19T19:55:00,@Unilever #DanaPlato looks so pretty for #Noxzema #bbloggers #fbloggers #RT  https://t.co/kMeOS5FvJm https://t.co/gfedOmnRse,744619689905651712
ShazBakes,2016-06-20T02:04:00,"@Unilever this product bleached my dark blue carpet, so what is it doing to my skin?? #not happy https://t.co/3j4DEDHbbp",744712570032918528
FreDDFerreira,2016-06-20T03:52:00,@Unilever Thank You a lot.,744739749034852354
real_g0getter,2016-06-20T09:28:00,@Unilever talks about how to achieve a successful careerーalternatives to a long-awaited promotion https://t.co/ChB58ct0A8,744824321315471360
mgifford,2016-06-20T12:50:00,@Unilever  &amp; @naturanet  Open Up on Company Ownership - The B Team: https://t.co/xVv843QWTd https://t.co/mKkQoWthfz,744875077586587649
DandyFH,2016-06-20T15:49:00,@Unilever @LinkedIn congrats,744920218951004161
StuStatt,2016-06-20T16:13:00,"@Unilever You're welcome! ..Sorry, I should have tagged you :(",744926242709848064
revistapym,2016-06-20T16:30:00,@Unilever por quinto año consecutivo es la empresa líder en el mundo en sostenibilidad: Ignacio Hojas. https://t.co/vUpESR4PY7,744930464062902272
PremioCaracolTV,2016-06-20T17:00:00,@Unilever  Queremos destacar programas que Enfrenten el Cambio Climático en nuestro país https://t.co/ZylIdFUGKF https://t.co/xHY1sgOhyq,744937956469841920
revistapym,2016-06-20T17:09:00,@Unilever y su marca @saborfruco adelanta un estudio para la producción de tomate sostenible en Colombia. https://t.co/EfL0JRFw5S,744940301178048512
climateb2b,2016-06-20T20:03:00,@Unilever Would Unilever be interested in a leadership role at our B2B climate solutions conference? https://t.co/1R4KExWsOA,744984119063486473
graemesfraser,2016-06-20T21:31:00,@Unilever can't you redesign this? Or color it red? So I don't stab my armpits. #productdesign https://t.co/f7P4WpxMmV,745006219148963840
irelandpenguin,2016-06-20T21:55:00,@Unilever @ToyotaGB @Airbus @Nissan @vauxhall logos on vote leave fear pamphlet full of lies. Wonder if they agreed. https://t.co/fBSdhXEM4m,745012275426267136
paolaruizglobal,2016-06-20T23:07:00,"@Unilever Foundry Selects Data, Social Impact, Retail #Innovation Marketing #Tech #Startups https://t.co/lre46k7veN  https://t.co/O2LuwOHOCI",745030345792364544
sbt1995,2016-06-21T07:22:00,"@Unilever CEO "" we need leaders who participate in higher level partnerships, are systemic thinkers and are purpose driven #collectiveaction",745154825168424961
iceskaterhmb,2016-06-21T08:44:00,@Unilever it'd be a lot simpler if you started. Once you become sustainable in your products creation then you can complain about the rest,745175456178044928
irelandpenguin,2016-06-21T11:48:00,@Unilever thanks for the response. I appreciate your position.,745221775320055808
foodwiththought,2016-06-21T13:23:00,@Unilever watching the #BigSchoolBakeoff finalists creating an afternoon tea to celebrate the Queen’s 90th Birthday,745245678448840706
ITSAFRICASTIME,2016-06-21T13:48:00,"@Unilever Global Development Award, supported by @FightPoverty https://t.co/rqlsJvszSN",745252010744758272
globalcosmetics,2016-06-21T15:04:00,@Unilever #creates central #solution to #bigdata challenge https://t.co/v0uNpGFdRC https://t.co/S1X79x4Iz1,745271087341121536
WFFHQ,2016-06-21T15:57:00,@Unilever At 1 pm ET we're talking Leading with Intention on #WFFChat. Join us!,745284506786086915
AdamSturges,2016-06-21T17:05:00,@Unilever i love bovril https://t.co/MjxQZvMqdI,745301514781077505
Infocast_Green,2016-06-21T17:23:00,"@Unilever, @Facebook, @Microsoft, nonprofs team to slash #climatechange after #ParisTalks. https://t.co/aUqPDDliOc https://t.co/JzC0H4pcFk",745306089307123712
JulianaVillegas,2016-06-21T21:03:00,"@Unilever cree en @Colombia , reinvierte, innova, genera empleo y exporta en equipo con @PROCOLOMBIACO https://t.co/5xMeDNPdvN",745361631299964932
brokerrangell,2016-06-22T01:14:00,"@Unilever a que correo electrónico podría enviar una propuesta de nuestros servicios? Teléfono?
Excelente inicio de semana!",745424667930857472
WarcAsia,2016-06-22T01:45:00,@Unilever and @Coca-Cola do #bigdata differently in #China.  https://t.co/Xlnqh8NzAc https://t.co/OZP9CU7RYO,745432472570200065
